node_id,avg_gpu_usage_pct,avg_cpu_usage_pct,total_hours_observed,num_instances,failure_rate,is_underutilized,estimated_idle_hours,estimated_savings_usd
898,4.599671346947911,226.27595435174808,3458.9338888888888,3933,0.27027714213068904,True,3299.8342978917954,8249.59
1100,5.411394519360388,253.66952524379715,3368.837777777778,2769,0.26688335139039365,True,3186.5366749049685,7966.34
1514,5.609660553360584,255.43666957564912,3375.4347222222223,2479,0.2472771278741428,True,3186.084292105286,7965.21
829,5.101471055453286,229.1948677303616,3317.0988888888887,3078,0.3183885640025991,True,3147.8780491914595,7869.7
1520,4.708976874709166,245.8755496038915,3280.74,3209,0.25397320037394827,True,3126.2507120806663,7815.63
138,5.298827885468956,252.54568252975355,3283.813888888889,2814,0.2533759772565743,True,3109.810242837542,7774.53
1053,5.71383775468457,225.5008433669544,3221.0983333333334,2949,0.25635808748728384,True,3037.050000647818,7592.63
122,5.210158900947833,246.8861819874012,3199.7025,2927,0.2818585582507687,True,3032.9929153923995,7582.48
1093,5.446203954301435,247.79909608714644,3174.345,2958,0.28329952670723463,True,3001.46369708683,7503.66
1054,5.342193413714174,233.81844367141892,3119.273611111111,3133,0.29141398021066073,True,2952.635981702609,7381.59
223,5.6389694989203605,261.20957284721715,3118.0513888888886,2385,0.2448637316561845,True,2942.2254221087815,7355.56
1493,6.1151591920335715,268.10565910650047,3129.0694444444443,2329,0.22584800343495062,True,2937.721866687386,7344.3
697,5.650914786527896,243.29893452360392,3080.8022222222226,3241,0.27429805615550756,True,2906.708713902987,7266.77
68,6.1334263036368615,240.60072854036972,3075.9258333333337,2121,0.2248939179632249,True,2887.266189191306,7218.17
745,5.810726992497176,255.71233521475204,3062.0825,2654,0.2192916352675207,True,2884.1532456399677,7210.38
424,5.096068879794828,242.88176925368148,3037.262222222222,3022,0.23825281270681667,True,2882.481247317791,7206.2
445,6.108690876008482,262.3586086790317,3047.6294444444447,2281,0.22621657167908812,True,2861.459182637119,7153.65
319,5.5521690817109395,223.97851452862017,3026.0580555555553,2361,0.28293096145700974,True,2858.046195800376,7145.12
1378,4.745867019228105,232.0895605444405,2953.3775,3221,0.30797888854393046,True,2813.2141312741965,7033.04
1660,4.80884860506805,225.95497155884598,2933.0794444444446,2945,0.3225806451612903,True,2792.0320944947402,6980.08
1339,6.206824151643184,271.1579344421955,2973.8691666666664,2842,0.20337790288529206,True,2789.28633699173,6973.22
1204,6.094915416310489,260.86179385723,2966.9686111111114,2273,0.2309722833260009,True,2786.1343838354073,6965.34
1564,6.6963807992472155,245.08425034631165,2982.235833333333,2049,0.22596388482186433,True,2782.5339656017295,6956.33
969,7.111566541053359,275.8613837048329,2995.2236111111115,2301,0.222077357670578,True,2782.2162909536037,6955.54
1261,5.913792613303053,229.2532511804041,2948.0872222222224,2832,0.3012005649717514,True,2773.7434578407137,6934.36
465,5.623957024344432,237.82417352663248,2937.048611111111,2317,0.2762192490289167,True,2771.870259438117,6929.68
217,4.905516276422516,226.72122550225612,2911.3941666666665,3562,0.2866367209432903,True,2768.5752519500174,6921.44
357,6.105052012648111,256.3819620292338,2936.9894444444444,2031,0.2259970457902511,True,2757.6847112551263,6894.21
722,5.910791617158442,266.10458000968356,2912.967777777778,2564,0.21801872074882994,True,2740.7883225583623,6851.97
396,6.4968351808378975,258.2394732546904,2929.6208333333334,2287,0.2094446873633581,True,2739.288196368177,6848.22
371,5.895610425336998,262.1565474194844,2875.119722222222,1970,0.24213197969543146,True,2705.613864137969,6764.03
1015,4.471821994965375,228.8921598934423,2826.5394444444446,3034,0.26104152933421226,True,2700.141631871406,6750.35
315,5.1221606903206744,236.21018805727624,2831.880833333333,3345,0.2615844544095665,True,2686.8273464916074,6717.07
114,6.410722780518607,258.05314893093066,2865.7266666666665,2033,0.24200688637481554,True,2682.01287441927,6705.03
721,6.329452642519754,244.45557336163506,2850.1080555555554,2454,0.22493887530562348,True,2669.711815918526,6674.28
1448,5.2659889938084135,239.92527051992175,2809.969722222222,2695,0.2051948051948052,True,2661.997025920651,6654.99
1203,6.362911290718675,260.8199827761439,2840.3005555555555,2225,0.2346067415730337,True,2659.574750815766,6648.94
432,6.260629242867817,275.1731212939385,2833.6563888888886,2054,0.22833495618305744,True,2656.2516683637186,6640.63
111,5.615899585820607,252.42463111807314,2805.996666666667,2067,0.25012094823415576,True,2648.4147114851935,6621.04
966,5.9268816918279255,273.15948981139155,2795.7563888888885,2153,0.24291686019507663,True,2630.0552153277235,6575.14
563,6.092856334174415,266.6709496143439,2799.5833333333335,2152,0.24395910780669144,True,2629.0087428778425,6572.52
132,6.0283828314376215,258.4772815235282,2786.837777777778,2363,0.22513753702920017,True,2618.8365276422046,6547.09
504,5.213085769679305,230.76772534729864,2762.1544444444444,2888,0.24307479224376732,True,2618.1609641645464,6545.4
576,6.165874902239455,252.21580044501175,2767.804166666667,2089,0.2359980852082336,True,2597.144824211029,6492.86
1577,6.1156970118497584,274.40462622022517,2764.0705555555555,2257,0.24280017722640673,True,2595.028375184025,6487.57
1595,5.123216380104268,225.10050991856082,2710.925,2892,0.23340248962655602,True,2572.0384463476585,6430.1
994,6.459112333888647,249.52830360948946,2738.784722222222,2042,0.23065621939275222,True,2561.8835404305087,6404.71
166,5.995222002607088,257.35934680327557,2717.92,2642,0.23012869038607117,True,2554.9746621467416,6387.44
774,5.259328543285785,244.65863368231683,2693.902222222222,2521,0.2594208647362158,True,2552.2210537206784,6380.55
562,5.97391307702185,243.37157520053233,2709.3841666666667,2721,0.23631018008085264,True,2547.5279116274073,6368.82
842,5.4699983091942395,252.9545536058897,2691.7349999999997,2512,0.21934713375796178,True,2544.49714101201,6361.24
234,4.87839296595278,213.79804690907537,2665.7722222222224,2634,0.3906605922551253,True,2535.72537764501,6339.31
